Property,Importance
state,2.188326269677942
Monoisotopic Mass,1.0000000000000002
Number of Rings,1.0000000000000002
Polar Surface Area (PSA),1.0000000000000002
Monoisotopic Weight,1.0000000000000002
Bioavailability,1.0000000000000002
pKa (strongest acidic),1.0000000000000002
Average Mass,1.0
LogS,1.0
Physiological Charge,1.0
pKa (strongest basic),1.0
Molecular Weight,1.0
Refractivity,1.0
LogP,0.9999999999999999
Polarizability,0.9999999999999999
H Bond Acceptor Count,0.9999999999999999
Rotatable Bond Count,0.9999999999999997
H Bond Donor Count,0.9999999999999996
Ghose Filter,0.24969154351037062
Rule of Five,0.19040532068258326
MDDR-Like Rule,0.187871733896083
Water Solubility,
